trade_date,strategy,regime,direction,option_type,strike,entry_price,exit_price,sl_price,target_price,exit_reason,net_pnl,lots,vix
2024-06-13,GAP_FADE,VOLATILE,PUT,PE,23500,65.66,89.9,54.83,91.27,TARGET_HIT,5371.49,3,13.489999771118164
2024-06-21,RANGE_BOUNCE,MEAN_REVERT,PUT,PE,23650,152.26,220.59,127.6,221.7,TARGET_HIT,15241.06,3,13.180000305175781
2024-06-25,TREND_CONTINUATION,STRONG_TREND_UP,CALL,CE,23600,112.91,192.65,88.07,194.21,TARGET_HIT,17824.0,3,14.3100004196167
2024-06-26,TREND_CONTINUATION,STRONG_TREND_UP,CALL,CE,23700,109.32,185.96,85.27,188.03,TARGET_HIT,17128.82,3,14.050000190734863
2024-07-19,RANGE_BOUNCE,MEAN_REVERT,PUT,PE,24850,186.19,269.74,156.03,271.09,TARGET_HIT,24879.21,4,14.829999923706055
2024-07-29,GAP_FADE,MEAN_REVERT,PUT,PE,24950,127.21,189.11,102.02,190.06,TARGET_HIT,18424.65,4,12.949999809265137
2024-08-08,INSIDE_BAR_BREAK,MEAN_REVERT,PUT,PE,24250,71.75,102.9,60.13,104.47,TARGET_HIT,9245.67,4,16.600000381469727
2024-08-13,VWAP_CROSS,MEAN_REVERT,PUT,PE,24350,135.95,205.33,111.48,206.98,TARGET_HIT,20662.15,4,16.170000076293945
2024-08-29,TREND_CONTINUATION,STRONG_TREND_UP,CALL,CE,25050,56.64,43.3,44.18,97.43,SL_HIT,-4078.26,4,13.789999961853027
2024-10-17,TREND_CONTINUATION,MILD_TREND,PUT,PE,25050,70.82,54.41,55.24,115.43,SL_HIT,-5004.12,4,13.390000343322754
2024-10-21,TREND_CONTINUATION,MILD_TREND,PUT,PE,24950,129.3,209.7,100.85,210.76,TARGET_HIT,17965.61,3,13.760000228881836
2024-10-22,TREND_CONTINUATION,MILD_TREND,PUT,PE,24800,119.89,193.85,93.51,195.42,TARGET_HIT,22046.22,4,14.399999618530273
2024-11-04,TREND_CONTINUATION,MILD_TREND,PUT,PE,24300,150.42,243.96,117.33,245.19,TARGET_HIT,27893.3,4,16.690000534057617
2024-11-07,VWAP_CROSS,MEAN_REVERT,PUT,PE,24500,69.75,56.33,57.19,106.19,SL_HIT,-4105.82,4,14.9399995803833
2024-11-26,GAP_FADE,MEAN_REVERT,PUT,PE,24350,128.13,189.89,102.76,191.43,TARGET_HIT,18385.71,4,15.3100004196167
2024-11-28,VWAP_CROSS,MEAN_REVERT,PUT,PE,24250,53.63,43.09,43.97,81.65,SL_HIT,-3233.67,4,15.210000038146973
2024-12-30,TREND_CONTINUATION,MILD_TREND,PUT,PE,23800,129.68,100.64,101.15,211.38,SL_HIT,-8821.11,4,13.970000267028809
2025-01-06,TREND_CONTINUATION,MILD_TREND,PUT,PE,24050,148.09,114.93,115.51,241.39,SL_HIT,-7562.0,3,15.649999618530273
2025-02-17,GAP_FADE,MEAN_REVERT,CALL,CE,22800,159.88,127.58,128.23,238.86,SL_HIT,-7373.75,3,15.720000267028809
2025-02-20,GAP_FADE,MEAN_REVERT,CALL,CE,22800,73.38,57.97,58.85,109.63,SL_HIT,-3541.93,3,14.680000305175781
2025-03-04,GAP_FADE,MILD_TREND,CALL,CE,21950,125.33,192.21,97.76,193.76,TARGET_HIT,14928.52,3,13.829999923706055
2025-03-11,GAP_FADE,MEAN_REVERT,CALL,CE,22350,113.92,90.63,91.36,170.19,SL_HIT,-7089.69,4,14.069999694824219
2025-03-27,TREND_CONTINUATION,MILD_TREND,CALL,CE,23450,50.12,38.31,39.1,81.7,SL_HIT,-3614.07,4,13.300000190734863
2025-04-03,GAP_FADE,MEAN_REVERT,CALL,CE,23150,58.47,45.95,46.89,87.35,SL_HIT,-2884.5,3,13.600000381469727
2025-04-25,RANGE_BOUNCE,MEAN_REVERT,PUT,PE,24300,220.26,183.66,184.58,320.7,SL_HIT,-8367.72,3,17.15999984741211
2025-05-07,TREND_CONTINUATION,MILD_TREND,CALL,CE,24250,124.76,200.8,97.31,203.36,TARGET_HIT,11308.47,2,19.059999465942383
2025-05-23,VWAP_CROSS,MEAN_REVERT,CALL,CE,24650,244.59,371.27,200.56,372.39,TARGET_HIT,37769.31,4,17.280000686645508
2025-06-09,GAP_FADE,MEAN_REVERT,PUT,PE,25150,138.05,149.9,110.72,206.25,EOD_EXIT,3424.98,4,14.6899995803833
2025-06-13,GAP_FADE,MEAN_REVERT,CALL,CE,24450,230.88,343.9,185.17,344.94,TARGET_HIT,33684.25,4,15.079999923706055
2025-06-24,GAP_FADE,MEAN_REVERT,PUT,PE,25200,124.48,184.48,99.83,185.97,TARGET_HIT,17859.99,4,13.640000343322754
2025-06-26,INSIDE_BAR_BREAK,MEAN_REVERT,CALL,CE,25250,69.33,57.23,58.1,100.94,SL_HIT,-3713.18,4,12.59000015258789
2025-07-08,TREND_CONTINUATION,MILD_TREND,CALL,CE,25450,104.19,139.0,81.27,169.83,EOD_PROFIT,10323.09,4,12.199999809265137
2025-08-06,INSIDE_BAR_BREAK,MEAN_REVERT,PUT,PE,24650,82.86,119.32,69.44,120.64,TARGET_HIT,10828.82,4,11.960000038146973
2025-08-07,RANGE_BOUNCE,MEAN_REVERT,CALL,CE,24450,60.85,50.23,50.99,88.6,SL_HIT,-3264.76,4,11.6899995803833
2025-08-11,RANGE_BOUNCE,MEAN_REVERT,CALL,CE,24350,141.94,205.63,118.95,206.67,TARGET_HIT,18955.34,4,12.220000267028809
2025-09-04,GAP_FADE,MEAN_REVERT,PUT,PE,25000,57.48,45.17,46.1,85.87,SL_HIT,-3766.16,4,10.850000381469727
2025-09-16,INSIDE_BAR_BREAK,MEAN_REVERT,CALL,CE,25050,109.63,158.34,91.87,159.61,TARGET_HIT,14485.41,4,10.270000457763672
2025-10-27,TREND_CONTINUATION,MILD_TREND,CALL,CE,25850,130.99,212.44,102.17,213.51,TARGET_HIT,24283.59,4,11.859999656677246
2025-11-26,VWAP_CROSS,MEAN_REVERT,CALL,CE,25850,86.97,70.53,71.32,132.42,SL_HIT,-5022.73,4,11.970000267028809
2025-12-01,GAP_FADE,MEAN_REVERT,PUT,PE,26350,128.66,191.25,103.18,192.21,TARGET_HIT,18634.11,4,11.630000114440918
2025-12-15,GAP_FADE,MEAN_REVERT,CALL,CE,25950,107.71,85.96,86.39,160.93,SL_HIT,-6628.52,4,10.25
2026-01-23,TREND_CONTINUATION,MILD_TREND,PUT,PE,25350,185.43,301.35,144.64,302.25,TARGET_HIT,34577.55,4,14.1899995803833
2026-01-30,GAP_FADE,MEAN_REVERT,CALL,CE,25250,204.2,227.54,163.77,305.08,EOD_PROFIT,6829.87,4,13.630000114440918
